method,n_clusters,silhouette,calinski_harabasz,davies_bouldin,execution_time,embedding,metric,db_inverted,silhouette_norm,calinski_harabasz_norm,db_inverted_norm,score
K-Means,10,0.23159758441661848,121.91107798169816,1.5512460466922147,0.025563478469848633,ATTACKS_COSTS + KEYWORDS,jaccard,-1.5512460466922147,0.5563476900264944,0.065218686625932,0.6893523920037798,1.3109187686562063
Agglomerative,10,0.24044544783319588,127.73766049655407,1.6173983962039546,0.042447805404663086,SUPERTYPES + KEYWORDS,weighted_jaccard,-1.6173983962039546,0.5654612562933905,0.06843098446198174,0.6737097577542581,1.3076019985096303
Agglomerative,10,0.24044544783319588,127.73766049655407,1.6173983962039546,0.020667314529418945,SUPERTYPES + KEYWORDS,jaccard,-1.6173983962039546,0.5654612562933905,0.06843098446198174,0.6737097577542581,1.3076019985096303
Agglomerative,10,0.2161583163899275,129.96315453463822,1.5534846678273202,0.024721622467041016,KEYWORDS,weighted_jaccard,-1.5534846678273202,0.5404447781427069,0.06965793862670039,0.6888230392007703,1.2989257559701777
Agglomerative,10,0.2161583163899275,129.96315453463822,1.5534846678273202,0.0442202091217041,KEYWORDS,jaccard,-1.5534846678273202,0.5404447781427069,0.06965793862670039,0.6888230392007703,1.2989257559701777
DBSCAN,3,0.47706460052807265,45.00717347139843,2.495047685301684,0.008745193481445312,SUPERTYPES,jaccard,-2.495047685301684,0.8091861225770665,0.02282020597070336,0.46617749427400057,1.2981838228217704
DBSCAN,3,0.47706460052807265,45.00717347139843,2.495047685301684,0.010909795761108398,SUPERTYPES,weighted_jaccard,-2.495047685301684,0.8091861225770665,0.02282020597070336,0.46617749427400057,1.2981838228217704
BIRCH,10,0.20842507035000526,125.64820953190015,1.5468111818719237,0.10274362564086914,KEYWORDS,jaccard,-1.5468111818719237,0.5324793014027522,0.06727903324612294,0.6904010768780422,1.2901594115269175
BIRCH,10,0.20842507035000526,125.64820953190015,1.5468111818719237,0.08854937553405762,KEYWORDS,weighted_jaccard,-1.5468111818719237,0.5324793014027522,0.06727903324612294,0.6904010768780422,1.2901594115269175
BIRCH,10,0.202874733450897,109.56976250880756,1.6016672019659386,0.06232190132141113,ATTACKS_COSTS + KEYWORDS,weighted_jaccard,-1.6016672019659386,0.5267622869381248,0.05841470146198825,0.6774296153192535,1.2626066037193664
BIRCH,10,0.202874733450897,109.56976250880756,1.6016672019659386,0.06335639953613281,ATTACKS_COSTS + KEYWORDS,jaccard,-1.6016672019659386,0.5267622869381248,0.05841470146198825,0.6774296153192535,1.2626066037193664
DBSCAN,19,0.1087063394703781,83.98395547810449,1.1902201663614815,0.01156306266784668,ATTACKS_COSTS + SUPERTYPES,weighted_jaccard,-1.1902201663614815,0.42976599999491893,0.04430879420867851,0.7747219343149415,1.2487967285185388
DBSCAN,19,0.1087063394703781,83.98395547810449,1.1902201663614815,0.019147634506225586,ATTACKS_COSTS + SUPERTYPES,jaccard,-1.1902201663614815,0.42976599999491893,0.04430879420867851,0.7747219343149415,1.2487967285185388
DBSCAN,26,0.09698331495803608,96.37539100895907,1.2290434118950881,0.018924474716186523,ATTACKS_DMG + ATTACKS_COSTS,weighted_jaccard,-1.2290434118950881,0.4176909310532463,0.05114041144568221,0.7655416431424593,1.2343729856413879
DBSCAN,26,0.09698331495803608,96.37539100895907,1.2290434118950881,0.014845609664916992,ATTACKS_DMG + ATTACKS_COSTS,jaccard,-1.2290434118950881,0.4176909310532463,0.05114041144568221,0.7655416431424593,1.2343729856413879
DBSCAN,18,0.1243749901341443,93.58030240599842,1.3514522820482622,0.026465654373168945,ATTACKS_COSTS + RESISTANCE,jaccard,-1.3514522820482622,0.4459051829155699,0.04959942973848677,0.7365963796886876,1.2321009923427444
DBSCAN,18,0.1243749901341443,93.58030240599842,1.3514522820482622,0.024339914321899414,ATTACKS_COSTS + RESISTANCE,weighted_jaccard,-1.3514522820482622,0.4459051829155699,0.04959942973848677,0.7365963796886876,1.2321009923427444
DBSCAN,15,-0.050267646552012026,104.85057792892515,1.2161408885277825,0.034958839416503906,ATTACKS_DMG + RESISTANCE,weighted_jaccard,-1.2161408885277825,0.26601799800687476,0.05581293166378769,0.7685926225168933,1.0904235521875558
DBSCAN,15,-0.050267646552012026,104.85057792892515,1.2161408885277825,0.044817447662353516,ATTACKS_DMG + RESISTANCE,jaccard,-1.2161408885277825,0.26601799800687476,0.05581293166378769,0.7685926225168933,1.0904235521875558
DBSCAN,24,0.036262214092222904,74.27663840152158,1.7178702853803796,0.016922473907470703,ATTACKS_DMG + SUPERTYPES,weighted_jaccard,-1.7178702853803796,0.3551463651524389,0.038956978876200185,0.6499517956207079,1.044055139649347
DBSCAN,24,0.036262214092222904,74.27663840152158,1.7178702853803796,0.016770362854003906,ATTACKS_DMG + SUPERTYPES,jaccard,-1.7178702853803796,0.3551463651524389,0.038956978876200185,0.6499517956207079,1.044055139649347
DBSCAN,7,0.09383786261080634,68.44698630211687,2.0427451644168917,0.017960071563720703,RESISTANCE + SUPERTYPES,weighted_jaccard,-2.0427451644168917,0.4144510202345358,0.035742988723980795,0.5731306555231233,1.0233246644816398
DBSCAN,7,0.09383786261080634,68.44698630211687,2.0427451644168917,0.016716480255126953,RESISTANCE + SUPERTYPES,jaccard,-2.0427451644168917,0.4144510202345358,0.035742988723980795,0.5731306555231233,1.0233246644816398
Agglomerative,5,0.1674272528758019,13.076438527057856,2.3311940254035717,0.6404876708984375,QUANTITY,jaccard,-2.3311940254035717,0.4902503124641103,0.005216227909179312,0.5049229491391648,1.0003894895124543
BIRCH,5,0.1674272528758019,13.076438527057856,2.3311940254035717,0.7885951995849609,QUANTITY,jaccard,-2.3311940254035717,0.4902503124641103,0.005216227909179312,0.5049229491391648,1.0003894895124543
BIRCH,5,0.1674272528758019,13.076438527057856,2.3311940254035717,0.8352322578430176,QUANTITY,weighted_jaccard,-2.3311940254035717,0.4902503124641103,0.005216227909179312,0.5049229491391648,1.0003894895124543
Agglomerative,5,0.1674272528758019,13.076438527057856,2.3311940254035717,0.6525027751922607,QUANTITY,weighted_jaccard,-2.3311940254035717,0.4902503124641103,0.005216227909179312,0.5049229491391648,1.0003894895124543
DBSCAN,4,-0.20922703197750087,5.800680841617592,1.1546807878555927,0.03066277503967285,ATTACKS_COSTS + KEYWORDS,jaccard,-1.1546807878555927,0.10228503507415176,0.001204974209609932,0.783125709895494,0.8866157191792557
DBSCAN,4,-0.20922703197750087,5.800680841617592,1.1546807878555927,0.03039836883544922,ATTACKS_COSTS + KEYWORDS,weighted_jaccard,-1.1546807878555927,0.10228503507415176,0.001204974209609932,0.783125709895494,0.8866157191792557
