method,n_clusters,silhouette,calinski_harabasz,davies_bouldin,execution_time,embedding,metric,db_inverted,silhouette_norm,calinski_harabasz_norm,db_inverted_norm,score
BIRCH,2,0.19095305690891157,152.80589267323833,1.8488056392955583,0.09546089172363281,SUPERTYPES + KEYWORDS,coseno,-1.8488056392955583,0.5129842472154642,0.0823395992226674,0.31979119749978857,0.30503834797930673
K-Means,5,0.18702028582324443,144.16267513117873,1.7046912265278695,0.022190570831298828,ATTACKS_DMG + KEYWORDS,coseno,-1.7046912265278695,0.5089451719000682,0.07757489796024788,0.3805384512605823,0.32235284037363277
K-Means,2,0.18535694467417024,193.6084859995731,2.0385836853455057,0.021846532821655273,ATTACKS_DMG + WEAKNESS,coseno,-2.0385836853455057,0.5072368700360738,0.10483263112727115,0.2397957626211995,0.28395508792818147
K-Means,2,0.1846859778372315,192.82251766277136,1.9551546697834576,0.02032184600830078,SUPERTYPES + KEYWORDS,coseno,-1.9551546697834576,0.506547766722025,0.10439935447903713,0.27496284606573085,0.2953033224222643
BIRCH,3,0.18415578561375637,132.3539602830842,1.3965627603938942,0.03953814506530762,RESISTANCE + WEAKNESS,coseno,-1.3965627603938942,0.5060032432103316,0.07106516957837257,0.51042107551509,0.3624964961012647
BIRCH,2,0.18337477468409658,105.44790807442071,1.2462846029859949,0.06432938575744629,PKMN_TYPES + WEAKNESS,coseno,-1.2462846029859949,0.5052011212717983,0.056232811107525184,0.5737664771820142,0.3784001365204459
Agglomerative,2,0.18238708270207632,164.60285986908653,1.9966672732720792,0.015302419662475586,ATTACKS_DMG + WEAKNESS,coseno,-1.9966672732720792,0.5041867316170503,0.08884285153782148,0.2574644112460325,0.28349799813363474
BIRCH,2,0.1823608040636247,97.01968033972359,2.2400361870729553,0.03887033462524414,PKMN_TYPES + SUPERTYPES,coseno,-2.2400361870729553,0.5041597426574643,0.05158662615012317,0.15487929931845423,0.23687522270868058
K-Means,2,0.17756039291481568,177.40939858924855,2.039211530757049,0.016199111938476562,ATTACKS_COSTS + KEYWORDS,coseno,-2.039211530757049,0.4992295746531352,0.09590264505918646,0.23953111258512683,0.2782211107658162
Agglomerative,2,0.17713750664502406,168.69793620296224,1.8702119310966867,0.0189816951751709,ATTACKS_COSTS + KEYWORDS,coseno,-1.8702119310966867,0.498795257613997,0.09110032281894724,0.31076799562048074,0.30022119201780834
K-Means,2,0.17549699791894985,159.72106441243287,2.314230352904263,0.012076139450073242,RESISTANCE + PKMN_TYPES,coseno,-2.314230352904263,0.4971104053416827,0.08615168972660912,0.1236048991195633,0.2356223313959517
Agglomerative,2,0.17350676958384373,145.3843573184757,2.4547039457302304,0.02820420265197754,PKMN_TYPES + WEAKNESS,coseno,-2.4547039457302304,0.49506638041238393,0.07824836830063484,0.06439232748146351,0.21256902539816078
BIRCH,4,0.17150528020975644,125.0345237503711,1.8481493168738101,0.050935983657836914,ATTACKS_COSTS + WEAKNESS,coseno,-1.8481493168738101,0.4930107900541335,0.06703022213919156,0.3200678511941495,0.29336962112915815
Agglomerative,4,0.16732649102645383,127.1006856084932,1.8926480399902654,0.024745702743530273,ATTACKS_COSTS + WEAKNESS,coseno,-1.8926480399902654,0.4887190466826379,0.06816922436444522,0.30131070419356387,0.2860663250802156
BIRCH,2,0.16673951936682624,143.4396036530585,2.0706932973199255,0.09778690338134766,RESISTANCE + KEYWORDS,coseno,-2.0706932973199255,0.4881162089660265,0.07717629413385409,0.22626088634262076,0.2638511298141671
BIRCH,2,0.16654376738701163,143.85233853220325,2.3978860263222757,0.046189069747924805,ATTACKS_DMG + WEAKNESS,coseno,-2.3978860263222757,0.48791516573915505,0.07740382032883135,0.08834227462519006,0.21788708689772548
BIRCH,5,0.16592089981350874,129.26440281027624,1.77893680052424,0.09186792373657227,ATTACKS_DMG + KEYWORDS,coseno,-1.77893680052424,0.487275461829089,0.06936200541301732,0.3492423814396981,0.30195994956060146
